Feature ID,Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Northernmost Latitude,Southernmost Latitude,Easternmost Longitude,Westernmost Longitude,Coordinate System,Continent Ethnicity,Feature Type,Feature Type Code,Quad,Approval Status,Approval Date,Reference,Origin,Additional Info,Last Updated
9340,8 Homeward,8 Homeward,Moon,12.52,-12.02,97.09,-11.82,-12.23,97.30,96.88,+E (0-360),United States,"Crater, craters",AA,LAC-82,Approved,"Oct 05, 2018",[483],"Crater visible in the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, symbolizes the safe return to Earth of Apollo 8. The crater was previously designated Ganskiy (Hansky) M.",The crater was previously designated Ganskiy (Hansky) M.,"Feb 05, 2019"
1,Aachen,Aachen,Mathilde,4.80,9.20,299.10,9.20,9.20,299.10,299.10,+E (0-360),Germany,"Crater, craters",AA,-,Approved,2000,[150],German coal basin.,,"Oct 01, 2006"
2,Aananin,Aananin,Rhea,0.00,34.90,20.10,34.90,34.50,20.20,20.00,+E (0-360),Korea,"Crater, craters",AA,-,Approved,1982,[30],Korean god of the Heavens.,,"Oct 01, 2006"
6981,Aaru,Aaru,Titan,0.00,10.00,20.00,10.00,10.00,20.00,20.00,+E (0-360),Egypt,Albedo Feature,AL,-,Approved,2006,[83],Egyptian abode of the blessed dead.,,"Oct 01, 2006"
3,Ababinili Patera,Ababinili Patera,Io,103.63,12.78,217.83,13.83,11.73,219.41,216.25,+E (0-360),Chickasaw,"Patera, paterae",PE,-,Approved,2003,[83],Chickasaw fire and sun god.,,"Oct 01, 2006"
4,Abalos Colles,Abalos Colles,Mars,235.83,76.83,288.35,78.78,74.81,293.39,284.54,+E (0-360),Roman,"Collis, colles",CO,mc01,Approved,2003,[57],"Named for classical albedo feature at 72N, 70W.",,"Oct 01, 2006"
14147,Abalos Mensa,Abalos Mensa,Mars,129.18,81.17,284.40,82.40,80.21,290.52,279.34,+E (0-360),Roman,"Mensa, mensae",MN,mc01,Approved,2006,[57],Classical albedo feature name.,,"Jul 24, 2008"
14148,Abalos Scopuli,Abalos Scopuli,Mars,109.16,80.72,283.44,81.96,80.20,290.52,279.47,+E (0-360),Roman,"Scopulus, scopuli",SC,mc01,Approved,2006,[57],Classical albedo feature name.,,"Jul 24, 2008"
5,Abalos Undae,Abalos Undae,Mars,442.74,78.52,272.50,82.20,74.94,283.03,261.40,+E (0-360),Roman,"Unda, undae",UN,mc01,Approved,1988,[57],"Classical albedo feature at 72N, 70W.",,"Oct 01, 2006"
6,Aban,Aban,Mars,4.28,15.91,111.10,15.94,15.87,111.14,111.06,+E (0-360),Russia,"Crater, craters",AA,mc14,Approved,1988,[36],Town in Russia.,,"Nov 17, 2010"
7,Abans,Abans,Ariel,20.00,-15.50,251.30,-15.40,-15.70,252.30,250.20,+E (0-360),Persian,"Crater, craters",AA,-,Approved,1988,[83],Spirit of the iron mines.,,"Oct 01, 2006"
14659,Abassi,Abassi,Rhea,87.20,-21.30,213.50,-21.30,-21.30,213.50,213.50,+E (0-360),Ghana,"Crater, craters",AA,-,Approved,"Apr 23, 2010",[174],Efik (Ghana) creator god.,,"Apr 23, 2010"
8,Abatos Planum,Abatos Planum,Triton,0.00,-21.50,58.00,-21.50,-21.50,58.00,58.00,+E (0-360),Egypt,"Planum, plana",PM,-,Approved,1991,[83],"Egyptian sacred island in Nile, “;paradise.“;",,"Oct 01, 2006"
14314,Abaya Lacus,Abaya Lacus,Titan,65.00,73.17,314.45,73.70,72.75,316.61,312.00,+E (0-360),Ethiopia,"Lacus, lacūs",LC,-,Approved,"Sep 27, 2007",[74],Lake in Ethiopia.,,"Sep 28, 2007"
9,Abbe,Abbe,Moon,63.98,-57.58,174.77,-56.52,-58.63,176.74,172.81,+E (0-360),Germany,"Crater, craters",AA,LAC-132,Approved,1970,[68],"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,"Oct 18, 2010"
7027,Abbe H,Abbe H,Moon,25.13,-58.44,177.58,-58.03,-58.86,178.38,176.79,+E (0-360),Germany,Satellite Feature,SF,LAC-132,Approved,2006,[68],"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,"Oct 18, 2010"
7028,Abbe K,Abbe K,Moon,26.10,-59.82,176.86,-59.39,-60.25,177.71,176.00,+E (0-360),Germany,Satellite Feature,SF,LAC-132,Approved,2006,[68],"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,"Oct 18, 2010"
7029,Abbe M,Abbe M,Moon,28.61,-61.75,175.24,-61.27,-62.22,176.24,174.24,+E (0-360),Germany,Satellite Feature,SF,LAC-132,Approved,2006,[68],"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,"Oct 18, 2010"
10,Abbot,Abbot,Moon,10.40,5.56,54.74,5.73,5.38,54.92,54.57,+E (0-360),American,"Crater, craters",AA,LAC-62,Approved,1973,-,Charles Greeley; American astrophysicist (1872-1973).,,"Oct 18, 2010"
6774,[Abduh],Abduh,Moon,0.00,14.70,39.00,14.70,14.70,39.00,39.00,+E (0-360),Egypt,"Crater, craters",AA,LAC-61,Not Approved,-,-,Mohammed; Egyptian writer (1849-1905).,This name was never approved by the IAU. The IAU-approved name for this feature is Lyell A.,"Oct 18, 2010"
14574,Abedin,Abedin,Mercury,116.23,61.73,349.34,63.08,60.39,352.18,346.50,+E (0-360),Bangladesh,"Crater, craters",AA,H-02,Approved,"Jul 09, 2009",[211],Zainul; Bangladeshi painter and printmaker (1914-1976).,,"Mar 07, 2011"
15728,Abeeso Facula,Abeeso Facula,Mercury,32.00,21.70,145.40,22.10,21.40,145.70,145.00,+E (0-360),Somalia,"Facula, faculae",FA,H-08,Approved,"Apr 02, 2018",[455],Somali word for snake.,None,"Apr 03, 2018"
12,Abel,Abel,Moon,137.35,-34.63,85.78,-32.54,-36.77,88.21,83.43,+E (0-360),Norway,"Crater, craters",AA,LAC-116,Approved,1964,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
7030,Abel A,Abel A,Moon,27.83,-36.31,85.80,-35.86,-36.77,86.37,85.23,+E (0-360),Norway,Satellite Feature,SF,LAC-116,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
13,Abelard,Abelard,Eros,1.10,-3.50,347.80,-3.50,-3.50,347.80,347.80,+E (0-360),France,"Crater, craters",AA,-,Approved,2003,[59],"Peter; French philosopher, lover of Heloise (1079-1142).",,"Oct 01, 2006"
7031,Abel B,Abel B,Moon,41.55,-36.72,82.60,-36.04,-37.41,83.45,81.74,+E (0-360),Norway,Satellite Feature,SF,LAC-116,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
7032,Abel C,Abel C,Moon,36.84,-36.13,81.41,-35.52,-36.73,82.16,80.66,+E (0-360),Norway,Satellite Feature,SF,LAC-115,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
7033,Abel D,Abel D,Moon,27.90,-37.67,86.45,-37.21,-38.13,87.04,85.87,+E (0-360),Norway,Satellite Feature,SF,LAC-116,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
7034,Abel E,Abel E,Moon,14.00,-37.54,84.44,-37.30,-37.77,84.73,84.14,+E (0-360),Norway,Satellite Feature,SF,LAC-116,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
7035,Abel J,Abel J,Moon,18.76,-36.20,79.87,-35.89,-36.51,80.25,79.49,+E (0-360),Norway,Satellite Feature,SF,LAC-115,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
7036,Abel K,Abel K,Moon,9.94,-34.69,77.46,-34.53,-34.86,77.66,77.26,+E (0-360),Norway,Satellite Feature,SF,LAC-115,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
7037,Abel L,Abel L,Moon,54.13,-34.55,82.39,-33.66,-35.45,83.48,81.32,+E (0-360),Norway,Satellite Feature,SF,LAC-116,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
15449,Abellio,Abellio,Ceres,32.00,33.20,293.09,35.11,31.30,295.35,290.83,+E (0-360),Gaul,"Crater, craters",AA,-,Approved,"Dec 04, 2015",[174],Gaul god of the apple tree.,None,"Dec 04, 2015"
7038,Abel M,Abel M,Moon,91.01,-32.38,83.52,-30.88,-33.88,85.30,81.74,+E (0-360),Norway,Satellite Feature,SF,LAC-116,Approved,2006,[89],Niels Henrik; Norwegian mathematician (1802-1829).,,"Oct 18, 2010"
11,Abe Mango Dorsa,Abe Mango Dorsa,Venus,800.00,47.00,212.00,47.00,47.00,212.00,212.00,+E (0-360),Brazil,"Dorsum, dorsa",DO,v15,Approved,1997,[107],Tukano (Brazil) daughter of sun god.,,"Oct 01, 2006"
14,Abenezra,Abenezra,Moon,43.19,-20.99,11.89,-20.28,-21.71,12.65,11.13,+E (0-360),Spain,"Crater, craters",AA,LAC-96,Approved,1935,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7039,Abenezra A,Abenezra A,Moon,22.19,-22.79,10.44,-22.43,-23.16,10.84,10.05,+E (0-360),Spain,Satellite Feature,SF,LAC-96,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7040,Abenezra B,Abenezra B,Moon,13.77,-20.82,10.06,-20.59,-21.04,10.31,9.82,+E (0-360),Spain,Satellite Feature,SF,LAC-96,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7041,Abenezra C,Abenezra C,Moon,43.69,-21.37,11.09,-20.65,-22.09,11.86,10.32,+E (0-360),Spain,Satellite Feature,SF,LAC-96,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7042,Abenezra D,Abenezra D,Moon,7.25,-21.76,9.65,-21.64,-21.88,9.78,9.52,+E (0-360),Spain,Satellite Feature,SF,LAC-95,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7043,Abenezra E,Abenezra E,Moon,14.11,-21.46,9.40,-21.23,-21.70,9.65,9.15,+E (0-360),Spain,Satellite Feature,SF,LAC-95,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7044,Abenezra F,Abenezra F,Moon,6.30,-21.58,10.34,-21.48,-21.68,10.45,10.22,+E (0-360),Spain,Satellite Feature,SF,LAC-96,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7045,Abenezra G,Abenezra G,Moon,4.92,-20.53,11.00,-20.45,-20.61,11.09,10.91,+E (0-360),Spain,Satellite Feature,SF,LAC-96,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7046,Abenezra H,Abenezra H,Moon,4.72,-21.09,12.71,-21.01,-21.16,12.79,12.63,+E (0-360),Spain,Satellite Feature,SF,LAC-96,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7047,Abenezra J,Abenezra J,Moon,4.26,-19.92,10.69,-19.85,-19.99,10.76,10.61,+E (0-360),Spain,Satellite Feature,SF,LAC-96,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
7048,Abenezra P,Abenezra P,Moon,39.27,-20.02,9.85,-19.37,-20.66,10.54,9.16,+E (0-360),Spain,Satellite Feature,SF,LAC-95,Approved,2006,[89],"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,"Oct 18, 2010"
15,Abeona Mons,Abeona Mons,Venus,375.00,-44.80,273.10,-44.80,-44.80,273.10,273.10,+E (0-360),Roman,"Mons, montes",MO,v53,Approved,1997,[83],Roman goddess of travelers.,,"Oct 01, 2006"
16,Abetti,Abetti,Moon,1.60,20.11,27.82,20.14,20.09,27.84,27.79,+E (0-360),Italy,"Crater, craters",AA,LAC-42,Approved,1976,[68],Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982).,,"Oct 18, 2010"
17,Abigail,Abigail,Venus,18.40,-52.20,111.20,-52.20,-52.20,111.20,111.20,+E (0-360),Hebrew,"Crater, craters",AA,v57,Approved,1994,[82],First name from Hebrew.,,"Oct 01, 2006"
18,Abika,Abika,Venus,14.50,-52.50,104.40,-52.50,-52.50,104.40,104.40,+E (0-360),Russia,"Crater, craters",AA,v57,Approved,1994,[107],Mari first name.,,"Dec 30, 2008"
19,Abington,Abington,Venus,21.70,-47.80,277.70,-47.80,-47.80,277.70,277.70,+E (0-360),England,"Crater, craters",AA,v53,Approved,1994,[99],Frances; English actress (1737-1815).,,"Oct 01, 2006"
15164,Abisme,Abisme,Iapetus,767.74,37.53,267.08,67.59,7.29,304.00,229.82,+E (0-360),France,"Crater, craters",AA,-,Approved,"Aug 16, 2013",[29],"A Saracen lord, killed by Archbishop Turpin.",None,"Aug 16, 2013"
20,Abra,Abra,Venus,7.20,6.20,97.40,6.20,6.20,97.40,97.40,+E (0-360),Ghana,"Crater, craters",AA,v23,Approved,1997,[107],Ewe first name.,,"Oct 01, 2006"
23,Abulfeda,Abulfeda,Moon,62.23,-13.87,13.91,-12.84,-14.89,14.97,12.85,+E (0-360),Syria,"Crater, craters",AA,LAC-78,Approved,1935,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
7051,Abulfeda A,Abulfeda A,Moon,13.26,-16.43,10.75,-16.21,-16.65,10.98,10.53,+E (0-360),Syria,Satellite Feature,SF,LAC-96,Approved,2006,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
7052,Abulfeda B,Abulfeda B,Moon,15.49,-14.51,16.37,-14.25,-14.76,16.63,16.11,+E (0-360),Syria,Satellite Feature,SF,LAC-78,Approved,2006,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
7053,Abulfeda BA,Abulfeda BA,Moon,13.99,-14.69,16.80,-14.49,-14.90,17.03,16.56,+E (0-360),Syria,Satellite Feature,SF,LAC-78,Approved,2006,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
7054,Abulfeda C,Abulfeda C,Moon,16.43,-12.79,10.83,-12.52,-13.06,11.11,10.55,+E (0-360),Syria,Satellite Feature,SF,LAC-78,Approved,2006,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
7055,Abulfeda D,Abulfeda D,Moon,19.68,-13.25,9.46,-12.92,-13.57,9.79,9.13,+E (0-360),Syria,Satellite Feature,SF,LAC-77,Approved,2006,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
7056,Abulfeda E,Abulfeda E,Moon,5.55,-16.76,10.14,-16.67,-16.85,10.23,10.04,+E (0-360),Syria,Satellite Feature,SF,LAC-96,Approved,2006,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
7057,Abulfeda F,Abulfeda F,Moon,17.47,-16.19,13.07,-15.93,-16.44,13.36,12.78,+E (0-360),Syria,Satellite Feature,SF,LAC-96,Approved,2006,[59],Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,,"Oct 18, 2010"
